column,rate_mol_L_s,rate_mmol_L_d,rate_mol_kg_d,concentration_diff
1,2.7399097805271663e-8,2.3672820503754717,0.00024232545335498565,-0.0008451920821114372
2,3.484808393073653e-8,3.0108744516156363,0.00028822304359209895,-0.0009719014533853247
3,3.42034975732064e-8,2.955182190325033,0.00026972025986267737,-0.0009509036866359448
