Column,Depth,fe2+ [mol/kg],fe3+ [mol/kg],TOC [mol/kg],TIC [mol/kg],total S [mol/kg],name
background,,0.013012265043781909,0.003286793527706275,0.08987594704853889,0.21971526101074007,0.009979728676126618,background
column 1,0-4,0.012345887966351004,0.002273867556531452,0.13050537007742904,0.062484389309799354,0.007640729767659443,column 1 - 0-4 cm
column 1,4-8,0.015443414031206505,0.0030167268544841644,0.12659229040046627,0.24877195903754895,0.01715265866209263,column 1 - 4-8 cm
column 2,0-4,0.010375636369869014,0.003128306844608075,0.12738323203729915,0.08579635334276914,0.007640729767659443,column 2 - 0-4 cm
column 2,4-8,0.016748282651476636,0.004660471146526074,0.09745233535925402,0.1675547414869703,0.00592546390145018,column 2 - 4-8 cm
column 3,0-4,0.017634965819568693,0.002944707721798136,0.12184664057946884,0.051910748480559495,0.005613597380321223,column 3 - 0-4 cm
column 3,4-8,0.012471141684368333,0.004560418091089567,0.09428856881192241,0.0461660144867205,0.00686106346483705,column 3 - 4-8 cm
column 4,0-4,0.012979984049925678,0.0023156110823652504,0.06260927483140455,0.033136291732578475,0.024481521908623113,column 4 - 0-4 cm
column 4,4-8,0.03627963930678277,0.0034118227241243322,0.07268337357422364,0.0419615352593456,0.007952596288788399,column 4 - 4-8 cm
